ID,Construction_ID,Parameter_ID,Code_ID,Value,Comment
21-comp,21,comp,comp-no,no,
21-genre,21,genre,genre-written,written,
22-rmform,22,rmform,,deto,
22-ncases,22,ncases,ncases-0,0,
22-nclass,22,nclass,nclass-0,0,
22-nnumber,22,nnumber,nnumber-0,0,
22-int,22,int,int-related,related,
22-origin,22,origin,origin-kw,KW,
22-comp,22,comp,comp-yes,yes,
22-genre,22,genre,genre-spoken,spoken,
23-rmform,23,rmform,,kojto ~ kojato ~ koeto,
23-ncases,23,ncases,ncases-3,3,
23-nclass,23,nclass,nclass-3,3,
23-nnumber,23,nnumber,nnumber-2,2,
23-int,23,int,int-related,related,
23-origin,23,origin,origin-kw,KW,
23-comp,23,comp,comp-no,no,
23-genre,23,genre,genre-both,both,
24-rmform,24,rmform,,koji ~ koja ~ koje,
24-ncases,24,ncases,ncases-4,4,
24-nclass,24,nclass,nclass-3,3,
24-nnumber,24,nnumber,nnumber-2,2,
24-int,24,int,int-yes,yes,
24-origin,24,origin,origin-kw,KW,
24-comp,24,comp,comp-no,no,
24-genre,24,genre,genre-spoken,spoken,
25-rmform,25,rmform,,što/šta ,
25-ncases,25,ncases,ncases-0,0,
25-nclass,25,nclass,nclass-0,0,
25-nnumber,25,nnumber,nnumber-0,0,
25-int,25,int,int-yes,yes,
25-origin,25,origin,origin-kw,KW,
25-comp,25,comp,comp-yes,yes,
25-genre,25,genre,genre-spoken,spoken,
26-rmform,26,rmform,,ki,
26-ncases,26,ncases,ncases-0,0,
26-nclass,26,nclass,nclass-0,0,
26-nnumber,26,nnumber,nnumber-0,0,
26-int,26,int,int-no,no,
26-origin,26,origin,origin-na,NA,
26-comp,26,comp,comp-no,no,
26-genre,26,genre,genre-spoken,spoken,
27-rmform,27,rmform,,katěri ~ katéra ~ katére ,
27-ncases,27,ncases,ncases-5,5,
27-nclass,27,nclass,nclass-3,3,
27-nnumber,27,nnumber,nnumber-3,3,
27-int,27,int,int-yes,yes,
27-origin,27,origin,origin-kw,KW,
27-comp,27,comp,comp-no,no,
27-genre,27,genre,genre-spoken,spoken,
28-rmform,28,rmform,,který ~ která ~ které,
28-ncases,28,ncases,ncases-6,6,
28-nclass,28,nclass,nclass-3,3,
28-nnumber,28,nnumber,nnumber-2,2,
28-int,28,int,int-yes,yes,
28-origin,28,origin,origin-kw,KW,
28-comp,28,comp,comp-no,no,
28-genre,28,genre,genre-both,both,
29-rmform,29,rmform,,co,
29-ncases,29,ncases,ncases-0,0,
29-nclass,29,nclass,nclass-0,0,
29-nnumber,29,nnumber,nnumber-0,0,
29-int,29,int,int-yes,yes,
29-origin,29,origin,origin-kw,KW,
29-comp,29,comp,comp-yes,yes,
29-genre,29,genre,genre-spoken,spoken,
30-rmform,30,rmform,,jenž ~ jenže,
30-ncases,30,ncases,ncases-6,6,
30-nclass,30,nclass,nclass-3,3,
30-nnumber,30,nnumber,nnumber-2,2,
30-int,30,int,int-no,no,
30-origin,30,origin,origin-yo,YO,
30-comp,30,comp,comp-no,no,
30-genre,30,genre,genre-written,written,
31-rmform,31,rmform,,który ~ która ~ które,
31-ncases,31,ncases,ncases-4,4,
31-nclass,31,nclass,nclass-3,3,
31-nnumber,31,nnumber,nnumber-2,2,
31-int,31,int,int-yes,yes,
31-origin,31,origin,origin-kw,KW,
31-comp,31,comp,comp-no,no,
31-genre,31,genre,genre-both,both,
32-rmform,32,rmform,,jaki ~ jaka ~ jakie,
32-ncases,32,ncases,ncases-4,4,
32-nclass,32,nclass,nclass-3,3,
32-nnumber,32,nnumber,nnumber-2,2,
32-int,32,int,int-yes,yes,
32-origin,32,origin,origin-na,NA,
32-comp,32,comp,comp-no,no,
32-genre,32,genre,genre-both,both,
33-rmform,33,rmform,,co,
33-ncases,33,ncases,ncases-0,0,
33-nclass,33,nclass,nclass-0,0,
33-nnumber,33,nnumber,nnumber-0,0,
33-int,33,int,int-yes,yes,
33-origin,33,origin,origin-kw,KW,
33-comp,33,comp,comp-no,no,
33-genre,33,genre,genre-spoken,spoken,
34-rmform,34,rmform,,štož ~ štóž,
34-ncases,34,ncases,ncases-4,4,
34-nclass,34,nclass,nclass-2,2,
34-nnumber,34,nnumber,nnumber-2,2,
34-int,34,int,int-yes,yes,
34-origin,34,origin,origin-kw,KW,
34-comp,34,comp,comp-no,no,
34-genre,34,genre,genre-both,both,
35-rmform,35,rmform,,kotryž,
35-ncases,35,ncases,ncases-4,4,
35-nclass,35,nclass,nclass-3,3,
35-nnumber,35,nnumber,nnumber-2,2,
35-int,35,int,int-yes,yes,
35-origin,35,origin,origin-kw,KW,
35-comp,35,comp,comp-no,no,
35-genre,35,genre,genre-both,both,
36-rmform,36,rmform,,io,interrogatives are not attested but they never go back to yo in IE
36-ncases,36,ncases,ncases-0,0,
36-nclass,36,nclass,nclass-0,0,
36-nnumber,36,nnumber,nnumber-0,0,
36-int,36,int,int-no,no,
36-origin,36,origin,origin-yo,YO,
36-comp,36,comp,comp-na,NA,
36-genre,36,genre,genre-written,written,
37-rmform,37,rmform,,a ~ y,special verb inflection
37-ncases,37,ncases,ncases-2,2,
37-nclass,37,nclass,nclass-0,0,
37-nnumber,37,nnumber,nnumber-0,0,
37-int,37,int,int-no,no,
37-origin,37,origin,origin-na,NA,
37-comp,37,comp,comp-no,no,
37-genre,37,genre,genre-spoken,spoken,
38-rmform,38,rmform,,lle ~ pryd ~ pam,"expressions of time, space, reason"
38-ncases,38,ncases,ncases-0,0,
38-nclass,38,nclass,nclass-0,0,
38-nnumber,38,nnumber,nnumber-0,0,
38-int,38,int,int-yes,yes,
38-origin,38,origin,origin-na,NA,
38-comp,38,comp,comp-no,no,
38-genre,38,genre,genre-spoken,spoken,
39-rmform,39,rmform,,-,
39-ncases,39,ncases,ncases-0,0,
39-nclass,39,nclass,nclass-0,0,
39-nnumber,39,nnumber,nnumber-0,0,
39-int,39,int,int-no,no,
39-origin,39,origin,origin-na,NA,
39-comp,39,comp,comp-na,NA,
39-genre,39,genre,genre-written,written,
40-rmform,40,rmform,,a,
40-ncases,40,ncases,ncases-0,0,
40-nclass,40,nclass,nclass-0,0,
40-nnumber,40,nnumber,nnumber-0,0,
40-int,40,int,int-no,no,
40-origin,40,origin,origin-na,NA,
40-comp,40,comp,comp-no,no,
40-genre,40,genre,genre-spoken,spoken,
41-rmform,41,rmform,,izei ~ sei,this is underlyingly a personal pronoun with -ei
41-ncases,41,ncases,ncases-0,0,
41-nclass,41,nclass,nclass-0,0,
41-nnumber,41,nnumber,nnumber-0,0,
41-int,41,int,int-no,no,
41-origin,41,origin,origin-na,NA,
41-comp,41,comp,comp-no,no,
41-genre,41,genre,genre-written,written,
42-rmform,42,rmform,,ei ~ þei,this is the complementizer
42-ncases,42,ncases,ncases-0,0,
42-nclass,42,nclass,nclass-0,0,
42-nnumber,42,nnumber,nnumber-0,0,
42-int,42,int,int-no,no,
42-origin,42,origin,origin-na,NA,
42-comp,42,comp,comp-yes,yes,
42-genre,42,genre,genre-written,written,
43-rmform,43,rmform,,sa-ei ~ þat-ei ~ sō-ei,this is the demonstrative plus a complementizer
43-ncases,43,ncases,ncases-4,4,
43-nclass,43,nclass,nclass-3,3,
43-nnumber,43,nnumber,nnumber-2,2,
43-int,43,int,int-no,no,
43-origin,43,origin,origin-to,TO,
43-comp,43,comp,comp-no,no,
43-genre,43,genre,genre-written,written,
44-rmform,44,rmform,,er ~ sem,
44-ncases,44,ncases,ncases-0,0,
44-nclass,44,nclass,nclass-0,0,
44-nnumber,44,nnumber,nnumber-0,0,
44-int,44,int,int-no,no,
44-origin,44,origin,origin-one,ONE,
44-comp,44,comp,comp-no,no,
44-genre,44,genre,genre-written,written,
45-rmform,45,rmform,,som,
45-ncases,45,ncases,ncases-0,0,
45-nclass,45,nclass,nclass-0,0,
45-nnumber,45,nnumber,nnumber-0,0,
45-int,45,int,int-no,no,
45-origin,45,origin,origin-one,ONE,
45-comp,45,comp,comp-no,no,
45-genre,45,genre,genre-spoken,spoken,
46-rmform,46,rmform,,vars ~ vilkas,
46-ncases,46,ncases,ncases-0,0,
46-nclass,46,nclass,nclass-0,0,
46-nnumber,46,nnumber,nnumber-2,2,
46-int,46,int,int-yes,yes,
46-origin,46,origin,origin-kw,KW,
46-comp,46,comp,comp-no,no,
46-genre,46,genre,genre-written,written,
47-rmform,47,rmform,,vilken ~ vilket,
47-ncases,47,ncases,ncases-0,0,
47-nclass,47,nclass,nclass-0,0,
47-nnumber,47,nnumber,nnumber-2,2,
47-int,47,int,int-yes,yes,
47-origin,47,origin,origin-kw,KW,
47-comp,47,comp,comp-no,no,
47-genre,47,genre,genre-written,written,
48-rmform,48,rmform,,som,
48-ncases,48,ncases,ncases-0,0,
48-nclass,48,nclass,nclass-0,0,
48-nnumber,48,nnumber,nnumber-0,0,
48-int,48,int,int-no,no,
48-origin,48,origin,origin-one,ONE,
48-comp,48,comp,comp-no,no,
48-genre,48,genre,genre-spoken,spoken,
49-rmform,49,rmform,,hvem ~ hva ~ hvilket,
49-ncases,49,ncases,ncases-0,0,
49-nclass,49,nclass,nclass-2,2,
49-nnumber,49,nnumber,nnumber-0,0,
49-int,49,int,int-yes,yes,
49-origin,49,origin,origin-kw,KW,
49-comp,49,comp,comp-no,no,
49-genre,49,genre,genre-written,written,
50-rmform,50,rmform,,wat ~ wie,
50-ncases,50,ncases,ncases-0,0,
50-nclass,50,nclass,nclass-0,0,
50-nnumber,50,nnumber,nnumber-0,0,
50-int,50,int,int-yes,yes,
50-origin,50,origin,origin-kw,KW,
50-comp,50,comp,comp-no,no,
50-genre,50,genre,genre-both,both,
51-rmform,51,rmform,,waar,with non-human antecedents and prepositions
51-ncases,51,ncases,ncases-0,0,
51-nclass,51,nclass,nclass-0,0,
51-nnumber,51,nnumber,nnumber-0,0,
51-int,51,int,int-yes,yes,
51-origin,51,origin,origin-kw,KW,
51-comp,51,comp,comp-no,no,
51-genre,51,genre,genre-both,both,
52-rmform,52,rmform,,welke,
52-ncases,52,ncases,ncases-0,0,
52-nclass,52,nclass,nclass-0,0,
52-nnumber,52,nnumber,nnumber-0,0,
52-int,52,int,int-yes,yes,
52-origin,52,origin,origin-kw,KW,
52-comp,52,comp,comp-no,no,
52-genre,52,genre,genre-written,written,
53-rmform,53,rmform,,die ~ dat,
53-ncases,53,ncases,ncases-0,0,
53-nclass,53,nclass,nclass-2,2,
53-nnumber,53,nnumber,nnumber-0,0,
53-int,53,int,int-no,no,
53-origin,53,origin,origin-to,TO,
53-comp,53,comp,comp-no,no,
53-genre,53,genre,genre-spoken,spoken,
54-rmform,54,rmform,,wie,only with prepositions
54-ncases,54,ncases,ncases-0,0,
54-nclass,54,nclass,nclass-0,0,
54-nnumber,54,nnumber,nnumber-0,0,
54-int,54,int,int-yes,yes,
54-origin,54,origin,origin-kw,KW,
54-comp,54,comp,comp-no,no,
54-genre,54,genre,genre-spoken,spoken,
55-rmform,55,rmform,,wou ~ wat,
55-ncases,55,ncases,ncases-0,0,
55-nclass,55,nclass,nclass-0,0,
55-nnumber,55,nnumber,nnumber-0,0,
55-int,55,int,int-yes,yes,
55-origin,55,origin,origin-kw,KW,
55-comp,55,comp,comp-no,no,
55-genre,55,genre,genre-spoken,spoken,
56-rmform,56,rmform,,deen ~ dat ~ déi,
56-ncases,56,ncases,ncases-3,3,
56-nclass,56,nclass,nclass-3,3,
56-nnumber,56,nnumber,nnumber-2,2,
56-int,56,int,int-no,no,
56-origin,56,origin,origin-to,TO,
56-comp,56,comp,comp-yes,yes,
56-genre,56,genre,genre-spoken,spoken,
57-rmform,57,rmform,,der ~ die ~ das,
57-ncases,57,ncases,ncases-4,4,
57-nclass,57,nclass,nclass-3,3,
57-nnumber,57,nnumber,nnumber-2,2,
57-int,57,int,int-no,no,
57-origin,57,origin,origin-to,TO,
57-comp,57,comp,comp-no,no,
57-genre,57,genre,genre-both,both,
58-rmform,58,rmform,,wo ~ wie ~ warum,
58-ncases,58,ncases,ncases-0,0,
58-nclass,58,nclass,nclass-0,0,
58-nnumber,58,nnumber,nnumber-0,0,
58-int,58,int,int-no,no,
58-origin,58,origin,origin-kw,KW,
58-comp,58,comp,comp-no,no,
58-genre,58,genre,genre-both,both,
59-rmform,59,rmform,,der ~ daz ~ diu,
59-ncases,59,ncases,ncases-4,4,
59-nclass,59,nclass,nclass-3,3,
59-nnumber,59,nnumber,nnumber-2,2,
59-int,59,int,int-no,no,
59-origin,59,origin,origin-to,TO,
59-comp,59,comp,comp-yes,yes,
59-genre,59,genre,genre-written,written,
60-rmform,60,rmform,,der ~ diu ~ daz,only n used as COMP
60-ncases,60,ncases,ncases-4,4,
60-nclass,60,nclass,nclass-3,3,
60-nnumber,60,nnumber,nnumber-2,2,
60-int,60,int,int-no,no,
60-origin,60,origin,origin-to,TO,
60-comp,60,comp,comp-yes,yes,
60-genre,60,genre,genre-written,written,
61-rmform,61,rmform,,dâ ~ dar ~ dannen,local adverbs
61-ncases,61,ncases,ncases-0,0,
61-nclass,61,nclass,nclass-0,0,
61-nnumber,61,nnumber,nnumber-0,0,
61-int,61,int,int-no,no,
61-origin,61,origin,origin-na,NA,
61-comp,61,comp,comp-no,no,
61-genre,61,genre,genre-written,written,
62-rmform,62,rmform,,so ~ und,local adverbs
62-ncases,62,ncases,ncases-0,0,
62-nclass,62,nclass,nclass-0,0,
62-nnumber,62,nnumber,nnumber-0,0,
62-int,62,int,int-no,no,
62-origin,62,origin,origin-na,NA,
62-comp,62,comp,comp-no,no,
62-genre,62,genre,genre-written,written,
63-rmform,63,rmform,,wo,
63-ncases,63,ncases,ncases-0,0,
63-nclass,63,nclass,nclass-0,0,
63-nnumber,63,nnumber,nnumber-0,0,
63-int,63,int,int-yes,yes,
63-origin,63,origin,origin-kw,KW,
63-comp,63,comp,comp-no,no,
63-genre,63,genre,genre-spoken,spoken,
64-rmform,64,rmform,,vos,
64-ncases,64,ncases,ncases-0,0,
64-nclass,64,nclass,nclass-0,0,
64-nnumber,64,nnumber,nnumber-0,0,
64-int,64,int,int-yes,yes,
64-origin,64,origin,origin-kw,KW,
64-comp,64,comp,comp-no,no,
64-genre,64,genre,genre-spoken,spoken,
65-rmform,65,rmform,,velken,"minor strategy, more literary"
65-ncases,65,ncases,ncases-3,3,
65-nclass,65,nclass,nclass-3,3,
65-nnumber,65,nnumber,nnumber-2,2,
65-int,65,int,int-yes,yes,
65-origin,65,origin,origin-kw,KW,
65-comp,65,comp,comp-no,no,
65-genre,65,genre,genre-written,written,
66-rmform,66,rmform,,the ~ thiu ~ that,
66-ncases,66,ncases,ncases-5,5,
66-nclass,66,nclass,nclass-3,3,
66-nnumber,66,nnumber,nnumber-2,2,
66-int,66,int,int-no,no,
66-origin,66,origin,origin-to,TO,
66-comp,66,comp,comp-yes,yes,
66-genre,66,genre,genre-written,written,
67-rmform,67,rmform,,se ~ þæt ~ seo,
67-ncases,67,ncases,ncases-4,4,
67-nclass,67,nclass,nclass-3,3,
67-nnumber,67,nnumber,nnumber-2,2,
67-int,67,int,int-no,no,
67-origin,67,origin,origin-to,TO,
67-comp,67,comp,comp-no,no,
67-genre,67,genre,genre-written,written,
68-rmform,68,rmform,,þe,
68-ncases,68,ncases,ncases-0,0,
68-nclass,68,nclass,nclass-0,0,
68-nnumber,68,nnumber,nnumber-0,0,
68-int,68,int,int-no,no,
68-origin,68,origin,origin-to,TO,
68-comp,68,comp,comp-yes,yes,
68-genre,68,genre,genre-written,written,
69-rmform,69,rmform,,wich þat ~ who þat,
69-ncases,69,ncases,ncases-0,0,
69-nclass,69,nclass,nclass-0,0,
69-nnumber,69,nnumber,nnumber-0,0,
69-int,69,int,int-yes,yes,
69-origin,69,origin,origin-kwto,KW+TO,
69-comp,69,comp,comp-no,no,
69-genre,69,genre,genre-written,written,
70-rmform,70,rmform,,þat,"rare in ME, probably Latin and maybe French influence"
70-ncases,70,ncases,ncases-0,0,
70-nclass,70,nclass,nclass-0,0,
70-nnumber,70,nnumber,nnumber-0,0,
70-int,70,int,int-no,no,
70-origin,70,origin,origin-to,TO,
70-comp,70,comp,comp-yes,yes,
70-genre,70,genre,genre-written,written,
71-rmform,71,rmform,,that,
71-ncases,71,ncases,ncases-0,0,
71-nclass,71,nclass,nclass-0,0,
71-nnumber,71,nnumber,nnumber-0,0,
71-int,71,int,int-no,no,
71-origin,71,origin,origin-to,TO,
71-comp,71,comp,comp-yes,yes,
71-genre,71,genre,genre-both,both,
72-rmform,72,rmform,,who ~ what ~ which,inflection with prepositions
72-ncases,72,ncases,ncases-0,0,
72-nclass,72,nclass,nclass-2,2,
72-nnumber,72,nnumber,nnumber-0,0,
72-int,72,int,int-yes,yes,
72-origin,72,origin,origin-kw,KW,
72-comp,72,comp,comp-no,no,
72-genre,72,genre,genre-both,both,
73-rmform,73,rmform,,thī ~ thiu ~ thet,
73-ncases,73,ncases,ncases-4,4,
73-nclass,73,nclass,nclass-3,3,
73-nnumber,73,nnumber,nnumber-2,2,
73-int,73,int,int-no,no,
73-origin,73,origin,origin-to,TO,
73-comp,73,comp,comp-yes,yes,
73-genre,73,genre,genre-written,written,
74-rmform,74,rmform,,thēr,
74-ncases,74,ncases,ncases-0,0,
74-nclass,74,nclass,nclass-0,0,
74-nnumber,74,nnumber,nnumber-0,0,
74-int,74,int,int-no,no,
74-origin,74,origin,origin-to,TO,
74-comp,74,comp,comp-yes,yes,
74-genre,74,genre,genre-written,written,
75-rmform,75,rmform,,däi,
75-ncases,75,ncases,ncases-0,0,
75-nclass,75,nclass,nclass-0,0,
75-nnumber,75,nnumber,nnumber-0,0,
75-int,75,int,int-no,no,
75-origin,75,origin,origin-to,TO,
75-comp,75,comp,comp-no,no,
75-genre,75,genre,genre-spoken,spoken,
76-rmform,76,rmform,,dit,"there used to be a functional distinction, but this is no longer the case"
76-ncases,76,ncases,ncases-0,0,
76-nclass,76,nclass,nclass-0,0,
76-nnumber,76,nnumber,nnumber-0,0,
76-int,76,int,int-no,no,
76-origin,76,origin,origin-to,TO,
76-comp,76,comp,comp-no,no,
76-genre,76,genre,genre-spoken,spoken,
77-rmform,77,rmform,,wat,"there used to be a functional distinction, but this is no longer the case"
77-ncases,77,ncases,ncases-0,0,
77-nclass,77,nclass,nclass-0,0,
77-nnumber,77,nnumber,nnumber-0,0,
77-int,77,int,int-yes,yes,
77-origin,77,origin,origin-kw,KW,
77-comp,77,comp,comp-no,no,
77-genre,77,genre,genre-spoken,spoken,
78-rmform,78,rmform,,hur,
78-ncases,78,ncases,ncases-0,0,
78-nclass,78,nclass,nclass-0,0,
78-nnumber,78,nnumber,nnumber-0,0,
78-int,78,int,int-yes,yes,
78-origin,78,origin,origin-kw,KW,
78-comp,78,comp,comp-no,no,
78-genre,78,genre,genre-spoken,spoken,
79-rmform,79,rmform,,diar,
79-ncases,79,ncases,ncases-0,0,
79-nclass,79,nclass,nclass-0,0,
79-nnumber,79,nnumber,nnumber-0,0,
79-int,79,int,int-no,no,
79-origin,79,origin,origin-na,NA,
79-comp,79,comp,comp-no,no,
79-genre,79,genre,genre-spoken,spoken,
80-rmform,80,rmform,,hos ~ hē ~ ho,the comp. is based on the indef.rel. n 
80-ncases,80,ncases,ncases-4,4,
80-nclass,80,nclass,nclass-3,3,
80-nnumber,80,nnumber,nnumber-2,2,
80-int,80,int,int-no,no,
80-origin,80,origin,origin-to,TO,
80-comp,80,comp,comp-no,no,
80-genre,80,genre,genre-written,written,
81-rmform,81,rmform,,tís ~ tí,examples of full clauses missing
81-ncases,81,ncases,ncases-3,3,
81-nclass,81,nclass,nclass-2,2,
81-nnumber,81,nnumber,nnumber-2,2,
81-int,81,int,int-yes,yes,
81-origin,81,origin,origin-kw,KW,
81-comp,81,comp,comp-no,no,
81-genre,81,genre,genre-written,written,
82-rmform,82,rmform,,ton ~ tēn ~ to,examples of full clauses missing
82-ncases,82,ncases,ncases-2,2,
82-nclass,82,nclass,nclass-3,3,
82-nnumber,82,nnumber,nnumber-2,2,
82-int,82,int,int-no,no,
82-origin,82,origin,origin-to,TO,
82-comp,82,comp,comp-no,no,
82-genre,82,genre,genre-written,written,
83-rmform,83,rmform,,hostis ~ hētis ~ hoti,
83-ncases,83,ncases,ncases-3,3,
83-nclass,83,nclass,nclass-3,3,
83-nnumber,83,nnumber,nnumber-2,2,
83-int,83,int,int-related,related,
83-origin,83,origin,origin-yokw,YO+KW,
83-comp,83,comp,comp-yes,yes,
83-genre,83,genre,genre-written,written,
84-rmform,84,rmform,,pou,
84-ncases,84,ncases,ncases-0,0,
84-nclass,84,nclass,nclass-0,0,
84-nnumber,84,nnumber,nnumber-0,0,
84-int,84,int,int-yes,yes,
84-origin,84,origin,origin-kw,KW,
84-comp,84,comp,comp-yes,yes,
84-genre,84,genre,genre-both,both,
