ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment
120,oldp1254,haya ~ hayā ~ taya,,,,,
121,pahl1241,kē ~ čē,,,,,
122,west2369,ke,,,,,
123,taji1245,ki,,,,,
124,sout2645,ke,,,,,
125,jude1256,ho ,,,,,
126,waig1243,sta,,,,,
127,umbr1253,poe ~ NA ~ NA,,,,,
128,osca1245,pui ~ púd ~ paí,,,,,
129,lati1261,quī ~ quae ~ quod,,,,,
130,oldp1253,qui ~ que,,,,,
131,olds1249,qui ~ quien ~ que,,,,,
132,olds1249,cuyo ~ cuya,,,,,
133,ital1282,che,,,,,
134,ital1282,quale,,,,,
135,vene1258,che,,,,,
136,stan1290,qui,,,,,
137,stan1290,dont,,,,,
138,occi1249,que,,,,,
139,stan1288,que ~ quien,,,,,
140,stan1288,cuyo ~ cuya,,,,,
141,port1283,que ~ quem,,,,,
142,port1283,cujo ~ cuja,,,,,
143,roma1327,care,,,,,
144,roma1327,de,,,,,
145,camp1261,chi,,,,,
146,tokh1242,kus=ne,,,,,
147,tokh1242,äntsaṃ,,,,,
148,tokh1243,kuse,,,,,
149,tokh1243,intsu,,,,,
150,tokh1243,mäksu,,,,,
